Type,Location,Area,Floors,Build_life,CO2,Building_Construction_Type
Commercial,North America,18581 to 46451,7 to 14,60,152.5,Wood-Hybrid
Commercial,North America,46452 to 92903,7 to 14,50,153.0,Wood-Hybrid
Commercial,North America,Over 92903,More than 25,100,153.3,RC
Commercial,North America,Over 92903,More than 25,100,153.8,RC
Commercial,North America,4646 to 9290,7 to 14,50,154.3,Wood-Hybrid
Commercial,North America,46452 to 92903,7 to 14,60,154.4,Wood-Hybrid
Commercial,Europe,Over 92903,More than 25,100,154.6,RC
Commercial,North America,9291 to 18580,1 to 6,50,155.0,Wood
Commercial,North America,46452 to 92903,7 to 14,60,155.2,Wood-Hybrid
Commercial,Asia-Pacific,18581 to 46451,7 to 14,40,156.8,Wood-Hybrid
Commercial,North America,4646 to 9290,1 to 6,50,157.0,Wood
Residential,Europe,2324 to 4645,7 to 14,100,157.0,Wood-Hybrid
Commercial,North America,18581 to 46451,7 to 14,60,159.2,Wood-Hybrid
Commercial,North America,18581 to 46451,7 to 14,60,159.2,Wood-Hybrid
Commercial,North America,18581 to 46451,7 to 14,60,159.2,Wood-Hybrid
Commercial,North America,18581 to 46451,7 to 14,60,160.0,Wood-Hybrid
Commercial,North America,46452 to 92903,1 to 6,40,161.3,Wood
Residential,North America,94 to 465,1 to 6,60,162.5,Wood
Residential,North America,94 to 465,1 to 6,60,163.1,Wood
Residential,North America,94 to 465,1 to 6,60,165.6,Wood
Commercial,North America,4646 to 9290,1 to 6,60,166.1,Wood
Residential,Europe,94 to 465,1 to 6,60,166.7,Wood
Commercial,North America,18581 to 46451,7 to 14,50,167.0,Wood-Hybrid
Residential,North America,94 to 465,1 to 6,60,167.8,Wood
Commercial,North America,46452 to 92903,7 to 14,50,168.0,Wood-Hybrid
Commercial,North America,9291 to 18580,1 to 6,50,168.0,Wood
Commercial,Europe,Over 92903,More than 25,100,168.4,RC
Commercial,North America,2324 to 4645,1 to 6,100,168.4,Wood
Residential,North America,94 to 465,1 to 6,60,168.6,Wood
Commercial,North America,Over 92903,More than 25,100,169.0,RC
Commercial,Europe,Over 92903,More than 25,100,169.4,RC
Commercial,Europe,Over 92903,More than 25,100,169.5,RC
Residential,Europe,94 to 465,1 to 6,50,170.0,Wood
Commercial,North America,2324 to 4645,1 to 6,100,170.1,Wood
Residential,North America,94 to 465,1 to 6,60,170.2,Wood
Residential,North America,94 to 465,1 to 6,60,170.5,Wood
Commercial,North America,9291 to 18580,1 to 6,50,171.0,Wood
Commercial,North America,18581 to 46451,More than 25,50,171.0,RC
Commercial,North America,18581 to 46451,1 to 6,50,172.0,Wood
Commercial,North America,18581 to 46451,7 to 14,50,173.0,Wood-Hybrid
Residential,North America,94 to 465,1 to 6,60,175.0,Wood
Commercial,North America,930 to 2323,1 to 6,50,176.0,Wood
Commercial,North America,46452 to 92903,7 to 14,50,176.0,Wood-Hybrid
Commercial,North America,18581 to 46451,7 to 14,50,176.0,Wood-Hybrid
Residential,North America,94 to 465,1 to 6,60,176.9,Wood
Commercial,Europe,Over 92903,More than 25,100,176.9,RC
Commercial,North America,18581 to 46451,7 to 14,50,177.0,Wood-Hybrid
Commercial,North America,18581 to 46451,1 to 6,50,177.0,Wood
Commercial,North America,Over 92903,More than 25,100,177.2,RC
Commercial,Europe,Over 92903,More than 25,100,178.0,RC
Commercial,North America,18581 to 46451,7 to 14,50,178.0,Wood-Hybrid
Residential,Europe,93 or less,1 to 6,50,179.0,Wood
Commercial,North America,94 to 465,1 to 6,50,181.0,Wood
Residential,North America,94 to 465,1 to 6,50,181.2,Wood
Residential,North America,94 to 465,1 to 6,60,181.8,Wood
Residential,North America,46452 to 92903,7 to 14,50,184.0,Wood-Hybrid
Commercial,North America,46452 to 92903,7 to 14,60,185.0,Wood-Hybrid
Residential,North America,94 to 465,1 to 6,60,185.4,Wood
Residential,North America,94 to 465,1 to 6,50,185.9,Wood
Commercial,Europe,Over 92903,More than 25,100,186.0,RC
Residential,North America,94 to 465,1 to 6,60,187.2,Wood
Commercial,North America,46452 to 92903,7 to 14,60,187.5,Wood-Hybrid
Residential,North America,94 to 465,1 to 6,60,187.9,Wood
Commercial,North America,Over 92903,More than 25,100,189.0,RC
Commercial,North America,930 to 2323,1 to 6,50,189.0,Wood
Residential,North America,94 to 465,1 to 6,60,190.2,Wood
Commercial,North America,18581 to 46451,7 to 14,50,191.0,Wood-Hybrid
Residential,North America,94 to 465,1 to 6,60,191.1,Wood
Commercial,Europe,Over 92903,More than 25,100,191.3,RC
Commercial,North America,Over 92903,More than 25,100,191.4,RC
Commercial,North America,46452 to 92903,7 to 14,60,191.6,Wood-Hybrid
Commercial,North America,46452 to 92903,7 to 14,60,191.6,Wood-Hybrid
Commercial,North America,4646 to 9290,1 to 6,50,192.0,Wood
Commercial,North America,18581 to 46451,7 to 14,60,193.3,Wood-Hybrid
Commercial,North America,18581 to 46451,7 to 14,60,193.3,Wood-Hybrid
Residential,North America,94 to 465,1 to 6,60,193.9,Wood-Hybrid
Commercial,North America,46452 to 92903,1 to 6,50,194.0,Wood
