Type,Location,Area,Floors,Build_life,CO2,Building_Construction_Type
Commercial,North America,18581 to 46451,More than 25,40,417.7,Steel - Concrete
Commercial,Asia-Pacific,18581 to 46451,1 to 6,40,421.0,RC
Commercial,North America,18581 to 46451,7 to 14,50,421.0,Steel - Concrete
Commercial,North America,4646 to 9290,7 to 14,50,422.0,Steel - Concrete
Residential,Asia-Pacific,46452 to 92903,More than 25,40,422.1,Steel - Concrete
Commercial,Europe,2324 to 4645,1 to 6,50,423.0,RC
Residential,Asia-Pacific,46452 to 92903,More than 25,50,424.0,Steel - Concrete
Commercial,North America,2324 to 4645,1 to 6,50,424.0,RC
Commercial,North America,9291 to 18580,1 to 6,50,425.0,RC
Residential,North America,18581 to 46451,More than 25,40,427.1,Steel - Concrete
Commercial,North America,46452 to 92903,More than 25,50,428.0,Steel - Concrete
Residential,North America,Over 92903,More than 25,40,430.0,Steel - Concrete
Commercial,North America,4646 to 9290,1 to 6,40,430.3,RC
Commercial,Asia-Pacific,9291 to 18580,1 to 6,40,431.0,RC
Commercial,Europe,46452 to 92903,More than 25,40,432.3,Steel - Concrete
Commercial,Middle East,46452 to 92903,More than 25,50,433.0,Steel - Concrete
Commercial,North America,9291 to 18580,1 to 6,50,435.0,RC
Commercial,North America,18581 to 46451,15 to 25,50,436.0,Steel - Concrete
Residential,North America,18581 to 46451,15 to 25,40,436.3,Steel - Concrete
Residential,Europe,18581 to 46451,7 to 14,50,437.0,Steel - Concrete
Commercial,Middle East,46452 to 92903,15 to 25,40,437.3,Steel - Concrete
Commercial,North America,46452 to 92903,7 to 14,50,438.0,Steel - Concrete
Commercial,Asia-Pacific,Over 92903,More than 25,40,439.3,Steel - Concrete
Commercial,North America,9291 to 18580,1 to 6,50,440.0,RC
Residential,Europe,466 to 929,1 to 6,40,441.7,RC
Commercial,Asia-Pacific,Over 92903,More than 25,50,442.0,Steel - Concrete
Commercial,Europe,18581 to 46451,7 to 14,60,442.1,Steel - Concrete
Commercial,Asia-Pacific,9291 to 18580,15 to 25,40,443.2,Steel - Concrete
Residential,North America,930 to 2323,1 to 6,50,444.0,RC
Commercial,North America,2324 to 4645,1 to 6,50,445.0,RC
Commercial,Europe,9291 to 18580,7 to 14,40,445.8,Steel - Concrete
Commercial,North America,18581 to 46451,7 to 14,50,446.0,Steel - Concrete
Residential,Asia-Pacific,4646 to 9290,7 to 14,60,447.0,Steel - Concrete
Commercial,North America,46452 to 92903,7 to 14,40,449.3,Steel - Concrete
Commercial,North America,466 to 929,1 to 6,50,450.5,RC
Commercial,Middle East,18581 to 46451,15 to 25,50,453.0,Steel - Concrete
Commercial,Asia-Pacific,Over 92903,7 to 14,40,454.6,Steel - Concrete
Commercial,North America,18581 to 46451,7 to 14,40,454.7,Steel - Concrete
Commercial,Europe,9291 to 18580,7 to 14,60,455.6,Steel - Concrete
Commercial,North America,4646 to 9290,1 to 6,50,456.0,RC
Residential,North America,18581 to 46451,7 to 14,40,457.2,Steel - Concrete
Commercial,Europe,4646 to 9290,7 to 14,60,457.6,Steel - Concrete
Residential,North America,18581 to 46451,7 to 14,50,459.0,Steel - Concrete
Commercial,North America,9291 to 18580,1 to 6,40,459.3,RC
Commercial,Asia-Pacific,46452 to 92903,15 to 25,40,459.5,Steel - Concrete
Commercial,Europe,9291 to 18580,1 to 6,60,460.3,RC
Commercial,Europe,9291 to 18580,7 to 14,60,460.7,Steel - Concrete
Commercial,North America,9291 to 18580,1 to 6,40,461.5,RC
Commercial,Asia-Pacific,46452 to 92903,More than 25,40,462.1,Steel - Concrete
Residential,Asia-Pacific,9291 to 18580,More than 25,100,463.0,Steel - Concrete
Residential,Europe,94 to 465,7 to 14,60,463.8,Steel - Concrete
Commercial,North America,9291 to 18580,1 to 6,40,464.0,RC
Commercial,Asia-Pacific,18581 to 46451,1 to 6,40,464.2,RC
Commercial,North America,46452 to 92903,7 to 14,40,466.7,Steel - Concrete
Commercial,Europe,18581 to 46451,7 to 14,40,467.6,Steel - Concrete
Commercial,Asia-Pacific,Over 92903,More than 25,40,470.7,Steel - Concrete
Commercial,North America,4646 to 9290,1 to 6,40,471.0,RC
Residential,Asia-Pacific,18581 to 46451,More than 25,40,472.5,Steel - Concrete
Residential,North America,46452 to 92903,15 to 25,40,477.7,Steel - Concrete
Commercial,North America,930 to 2323,1 to 6,50,478.0,RC
Commercial,North America,4646 to 9290,1 to 6,50,480.0,RC
Commercial,North America,18581 to 46451,7 to 14,50,480.0,Steel - Concrete
Commercial,Asia-Pacific,46452 to 92903,More than 25,40,483.7,Steel - Concrete
Commercial,Asia-Pacific,18581 to 46451,More than 25,40,484.9,Steel - Concrete
Commercial,North America,930 to 2323,1 to 6,50,485.0,RC
Commercial,North America,4646 to 9290,1 to 6,50,487.0,RC
Commercial,Asia-Pacific,46452 to 92903,15 to 25,40,490.0,Steel - Concrete
Commercial,Europe,46452 to 92903,15 to 25,50,493.4,Steel - Concrete
Residential,North America,18581 to 46451,More than 25,40,494.0,Steel - Concrete
Commercial,Asia-Pacific,Over 92903,More than 25,40,497.9,Steel - Concrete
Commercial,Europe,4646 to 9290,1 to 6,40,500.2,RC
Residential,Asia-Pacific,4646 to 9290,7 to 14,40,501.3,Steel - Concrete
Residential,Asia-Pacific,46452 to 92903,More than 25,40,504.1,Steel - Concrete
Residential,Asia-Pacific,2324 to 4645,7 to 14,40,505.9,Steel - Concrete
Commercial,North America,18581 to 46451,1 to 6,50,507.0,RC
Commercial,Africa,46452 to 92903,7 to 14,50,508.0,Steel - Concrete
Commercial,North America,4646 to 9290,1 to 6,50,509.0,RC
Commercial,North America,9291 to 18580,1 to 6,50,510.0,RC
Commercial,North America,930 to 2323,1 to 6,50,515.0,RC
Commercial,North America,9291 to 18580,1 to 6,50,516.0,RC
Commercial,North America,466 to 929,1 to 6,50,517.1,RC
Residential,Asia-Pacific,18581 to 46451,1 to 6,40,517.5,RC
Commercial,North America,18581 to 46451,1 to 6,40,519.1,RC
Commercial,Europe,18581 to 46451,7 to 14,40,519.5,Steel - Concrete
Commercial,North America,Over 92903,More than 25,40,520.8,Steel - Concrete
Residential,Asia-Pacific,18581 to 46451,1 to 6,40,521.2,RC
Commercial,North America,466 to 929,1 to 6,50,522.2,RC
Commercial,North America,46452 to 92903,15 to 25,40,522.9,Steel - Concrete
Residential,Europe,18581 to 46451,7 to 14,50,528.0,Steel - Concrete
Residential,Asia-Pacific,2324 to 4645,15 to 25,60,528.5,Steel - Concrete
Commercial,Asia-Pacific,Over 92903,More than 25,40,528.5,Steel - Concrete
Commercial,North America,4646 to 9290,1 to 6,50,529.0,RC
Commercial,Asia-Pacific,46452 to 92903,More than 25,40,529.2,Steel - Concrete
Commercial,Asia-Pacific,18581 to 46451,15 to 25,40,531.9,Steel - Concrete
Commercial,North America,466 to 929,1 to 6,50,532.0,RC
Commercial,Europe,18581 to 46451,7 to 14,60,532.1,Steel - Concrete
Commercial,Europe,18581 to 46451,7 to 14,60,532.1,Steel - Concrete
Commercial,North America,930 to 2323,1 to 6,50,533.0,RC
Commercial,North America,46452 to 92903,15 to 25,50,533.0,Steel - Concrete
Commercial,Europe,18581 to 46451,1 to 6,60,534.0,RC
Commercial,Asia-Pacific,46452 to 92903,7 to 14,50,535.0,Steel - Concrete
Commercial,Asia-Pacific,46452 to 92903,More than 25,40,538.6,Steel - Concrete
Residential,North America,18581 to 46451,15 to 25,40,540.0,Steel - Concrete
Commercial,North America,466 to 929,1 to 6,50,542.0,RC
Commercial,North America,2324 to 4645,1 to 6,40,542.7,Steel - Concrete
Commercial,Middle East,2324 to 4645,1 to 6,50,544.0,RC
Commercial,Asia-Pacific,9291 to 18580,7 to 14,40,544.6,Steel - Concrete
Commercial,North America,18581 to 46451,1 to 6,40,545.2,Steel - Concrete
Residential,Asia-Pacific,9291 to 18580,7 to 14,40,545.4,Steel - Concrete
Commercial,Europe,4646 to 9290,7 to 14,60,547.6,Steel - Concrete
Commercial,Asia-Pacific,46452 to 92903,More than 25,40,549.3,Steel - Concrete
Commercial,North America,466 to 929,1 to 6,50,549.5,RC
Commercial,Asia-Pacific,46452 to 92903,More than 25,40,550.0,Steel - Concrete
Residential,Asia-Pacific,9291 to 18580,7 to 14,40,550.7,Steel - Concrete
Commercial,Europe,9291 to 18580,7 to 14,60,550.7,Steel - Concrete
Residential,Europe,94 to 465,7 to 14,60,553.8,Steel - Concrete
Commercial,Europe,9291 to 18580,7 to 14,40,557.8,Steel - Concrete
Commercial,North America,46452 to 92903,7 to 14,50,561.0,Steel - Concrete
Commercial,North America,Over 92903,15 to 25,50,562.0,Steel - Concrete
Commercial,North America,46452 to 92903,7 to 14,40,564.1,Steel - Concrete
Commercial,Europe,2324 to 4645,1 to 6,40,566.9,RC
Commercial,Middle East,Over 92903,More than 25,40,569.7,Steel - Concrete
Commercial,Middle East,9291 to 18580,1 to 6,50,570.0,RC
Commercial,Asia-Pacific,46452 to 92903,15 to 25,40,571.9,Steel - Concrete
Commercial,North America,4646 to 9290,1 to 6,50,576.0,RC
Commercial,North America,4646 to 9290,1 to 6,50,577.0,RC
Residential,Asia-Pacific,2324 to 4645,7 to 14,50,578.2,Steel - Concrete
Commercial,Asia-Pacific,46452 to 92903,More than 25,40,578.6,Steel - Concrete
Commercial,North America,46452 to 92903,15 to 25,40,580.4,Steel - Concrete
Commercial,Asia-Pacific,18581 to 46451,More than 25,40,581.1,Steel - Concrete
Commercial,Asia-Pacific,Over 92903,More than 25,40,581.3,Steel - Concrete
Residential,North America,Over 92903,More than 25,40,582.1,Steel - Concrete
Commercial,North America,930 to 2323,1 to 6,50,583.0,RC
Commercial,Europe,4646 to 9290,1 to 6,60,583.3,RC
Commercial,Asia-Pacific,930 to 2323,7 to 14,40,583.6,Steel - Concrete
Commercial,Asia-Pacific,4646 to 9290,1 to 6,40,584.6,RC
Commercial,North America,46452 to 92903,More than 25,40,587.2,Steel - Concrete
Residential,North America,46452 to 92903,More than 25,40,587.6,Steel - Concrete
Commercial,Asia-Pacific,Over 92903,7 to 14,40,589.1,Steel - Concrete
Commercial,Asia-Pacific,Over 92903,7 to 14,40,590.4,Steel - Concrete
Residential,Asia-Pacific,46452 to 92903,7 to 14,40,591.6,Steel - Concrete
Commercial,Asia-Pacific,Over 92903,More than 25,40,591.7,Steel - Concrete
Commercial,North America,9291 to 18580,1 to 6,40,592.2,RC
Commercial,North America,2324 to 4645,1 to 6,50,594.0,RC
Commercial,North America,18581 to 46451,7 to 14,50,594.0,Steel - Concrete
Commercial,Middle East,46452 to 92903,More than 25,50,597.0,Steel - Concrete
Commercial,North America,18581 to 46451,1 to 6,50,598.0,RC
Residential,Asia-Pacific,46452 to 92903,More than 25,40,598.7,Steel - Concrete
Commercial,North America,9291 to 18580,1 to 6,50,601.0,RC
Commercial,Africa,2324 to 4645,1 to 6,100,604.9,RC
Commercial,Asia-Pacific,18581 to 46451,More than 25,40,607.2,Steel - Concrete
Commercial,Asia-Pacific,Over 92903,More than 25,40,607.4,Steel - Concrete
Commercial,North America,9291 to 18580,1 to 6,50,610.0,RC
Commercial,Asia-Pacific,Over 92903,15 to 25,40,612.6,Steel - Concrete
Commercial,Asia-Pacific,Over 92903,More than 25,40,612.7,Steel - Concrete
Commercial,Asia-Pacific,46452 to 92903,More than 25,40,614.7,Steel - Concrete
Commercial,Asia-Pacific,Over 92903,7 to 14,40,614.7,Steel - Concrete
Commercial,Asia-Pacific,18581 to 46451,7 to 14,40,615.3,Steel - Concrete
Commercial,North America,466 to 929,1 to 6,50,617.0,RC
Commercial,Asia-Pacific,18581 to 46451,1 to 6,40,617.4,RC
Commercial,North America,4646 to 9290,1 to 6,50,621.0,RC
Commercial,Middle East,Over 92903,More than 25,60,623.1,Steel - Concrete
Commercial,Asia-Pacific,46452 to 92903,1 to 6,40,627.4,RC
Residential,Asia-Pacific,2324 to 4645,7 to 14,50,629.5,Steel - Concrete
Commercial,Asia-Pacific,46452 to 92903,15 to 25,40,629.8,Steel - Concrete
Commercial,Europe,46452 to 92903,More than 25,40,631.6,Steel - Concrete
Residential,Asia-Pacific,Over 92903,More than 25,50,639.0,Steel - Concrete
Commercial,North America,46452 to 92903,7 to 14,40,639.2,Steel - Concrete
Residential,Asia-Pacific,18581 to 46451,15 to 25,40,639.3,Steel - Concrete
Commercial,Europe,2324 to 4645,1 to 6,50,643.0,RC
Commercial,Asia-Pacific,46452 to 92903,More than 25,40,643.4,Steel - Concrete
Commercial,North America,930 to 2323,1 to 6,50,644.0,RC
Commercial,North America,2324 to 4645,1 to 6,50,645.0,RC
Commercial,Europe,46452 to 92903,More than 25,40,646.4,Steel - Concrete
Commercial,North America,466 to 929,1 to 6,40,647.4,RC
Commercial,North America,2324 to 4645,1 to 6,50,648.0,RC
Commercial,North America,4646 to 9290,1 to 6,50,651.0,RC
Commercial,Asia-Pacific,46452 to 92903,More than 25,40,652.0,Steel - Concrete
Commercial,North America,4646 to 9290,1 to 6,50,652.0,RC
Commercial,Middle East,Over 92903,1 to 6,40,653.4,RC
Residential,North America,18581 to 46451,More than 25,50,655.0,Steel - Concrete
Commercial,Asia-Pacific,46452 to 92903,More than 25,40,656.9,Steel - Concrete
Commercial,North America,94 to 465,1 to 6,50,661.0,RC
Commercial,North America,18581 to 46451,7 to 14,50,661.0,Steel - Concrete
Commercial,Asia-Pacific,9291 to 18580,15 to 25,40,661.6,Steel - Concrete
Commercial,North America,9291 to 18580,1 to 6,50,662.0,RC
Commercial,Europe,4646 to 9290,1 to 6,30,664.1,Steel - Concrete
Commercial,North America,4646 to 9290,1 to 6,50,665.0,RC
Commercial,Asia-Pacific,46452 to 92903,More than 25,40,667.0,Steel - Concrete
Commercial,Asia-Pacific,46452 to 92903,More than 25,40,667.4,Steel - Concrete
Commercial,Asia-Pacific,4646 to 9290,More than 25,40,677.8,Steel - Concrete
Residential,North America,46452 to 92903,More than 25,40,692.2,Steel - Concrete
Commercial,Europe,2324 to 4645,1 to 6,40,695.2,RC
Commercial,Europe,4646 to 9290,More than 25,50,701.0,Steel - Concrete
Commercial,North America,18581 to 46451,More than 25,40,701.9,Steel - Concrete
Commercial,Asia-Pacific,46452 to 92903,7 to 14,40,704.7,Steel - Concrete
Commercial,Asia-Pacific,46452 to 92903,1 to 6,40,715.1,RC
Commercial,North America,Over 92903,15 to 25,40,718.0,Steel - Concrete
Commercial,Europe,9291 to 18580,7 to 14,40,719.0,Steel - Concrete
Commercial,North America,18581 to 46451,1 to 6,40,723.6,RC
Commercial,Asia-Pacific,4646 to 9290,1 to 6,40,724.0,RC
Residential,North America,46452 to 92903,More than 25,40,726.7,Steel - Concrete
Commercial,Asia-Pacific,9291 to 18580,1 to 6,40,728.5,RC
Commercial,Asia-Pacific,46452 to 92903,More than 25,40,729.0,Steel - Concrete
Commercial,Asia-Pacific,Over 92903,More than 25,40,737.9,Steel - Concrete
Commercial,North America,18581 to 46451,1 to 6,50,742.0,RC
Commercial,Middle East,Over 92903,More than 25,40,744.9,Steel - Concrete
Commercial,North America,9291 to 18580,1 to 6,50,746.0,RC
Commercial,North America,2324 to 4645,1 to 6,60,754.2,RC
Commercial,Asia-Pacific,Over 92903,More than 25,40,754.7,Steel - Concrete
Commercial,Europe,46452 to 92903,More than 25,50,762.3,Steel - Concrete
Residential,North America,466 to 929,7 to 14,50,768.0,Steel - Concrete
Commercial,Asia-Pacific,9291 to 18580,7 to 14,40,774.7,Steel - Concrete
Commercial,Asia-Pacific,Over 92903,More than 25,40,775.7,Steel - Concrete
Commercial,North America,18581 to 46451,1 to 6,50,782.0,RC
Commercial,North America,18581 to 46451,1 to 6,50,790.0,RC
Commercial,North America,4646 to 9290,1 to 6,50,791.0,RC
Commercial,North America,466 to 929,1 to 6,50,795.0,RC
Commercial,Asia-Pacific,Over 92903,More than 25,40,795.8,Steel - Concrete
Commercial,North America,930 to 2323,1 to 6,50,802.0,RC
Commercial,North America,930 to 2323,1 to 6,50,802.0,RC
Commercial,North America,930 to 2323,1 to 6,50,802.0,RC
Commercial,Asia-Pacific,18581 to 46451,7 to 14,50,803.2,Steel - Concrete
Commercial,Asia-Pacific,18581 to 46451,15 to 25,40,804.9,Steel - Concrete
Commercial,Europe,Over 92903,More than 25,40,806.5,Steel - Concrete
Commercial,North America,2324 to 4645,1 to 6,50,820.0,RC
Commercial,Asia-Pacific,4646 to 9290,7 to 14,40,841.6,Steel - Concrete
Residential,Asia-Pacific,18581 to 46451,15 to 25,40,842.8,Steel - Concrete
Residential,Asia-Pacific,18581 to 46451,More than 25,40,852.8,Steel - Concrete
Commercial,Asia-Pacific,4646 to 9290,1 to 6,40,856.4,RC
Commercial,Middle East,Over 92903,More than 25,40,858.8,Steel - Concrete
Commercial,North America,9291 to 18580,1 to 6,50,863.0,RC
Residential,Asia-Pacific,2324 to 4645,7 to 14,50,864.1,Steel - Concrete
Commercial,Middle East,18581 to 46451,More than 25,50,870.0,Steel - Concrete
Commercial,North America,2324 to 4645,1 to 6,50,871.0,RC
Commercial,North America,930 to 2323,1 to 6,50,873.0,RC
Commercial,North America,930 to 2323,1 to 6,50,876.0,RC
Commercial,Asia-Pacific,18581 to 46451,1 to 6,40,881.0,RC
Commercial,North America,46452 to 92903,7 to 14,40,896.9,Steel - Concrete
Commercial,Asia-Pacific,9291 to 18580,1 to 6,40,902.9,RC
Commercial,Asia-Pacific,Over 92903,1 to 6,40,905.8,RC
Commercial,North America,9291 to 18580,1 to 6,50,910.0,RC
Commercial,North America,9291 to 18580,1 to 6,50,910.0,RC
Commercial,North America,46452 to 92903,1 to 6,40,913.2,RC
Residential,Asia-Pacific,18581 to 46451,More than 25,40,914.5,Steel - Concrete
Commercial,North America,Over 92903,15 to 25,40,917.4,Steel - Concrete
Commercial,Asia-Pacific,46452 to 92903,1 to 6,40,925.9,RC
Commercial,North America,2324 to 4645,1 to 6,50,927.0,RC
Commercial,North America,18581 to 46451,7 to 14,50,935.0,Steel - Concrete
Commercial,Asia-Pacific,Over 92903,More than 25,40,935.0,Steel - Concrete
Commercial,North America,4646 to 9290,1 to 6,50,950.0,RC
Commercial,North America,Over 92903,More than 25,40,965.1,Steel - Concrete
Residential,North America,4646 to 9290,7 to 14,50,974.0,RC
Commercial,North America,9291 to 18580,1 to 6,50,979.0,RC
Commercial,North America,2324 to 4645,1 to 6,20,993.3,RC
Commercial,North America,2324 to 4645,1 to 6,50,995.0,RC
Commercial,North America,2324 to 4645,1 to 6,50,1001.0,RC
Commercial,Europe,18581 to 46451,7 to 14,40,1001.3,Steel - Concrete
Residential,North America,94 to 465,1 to 6,50,1004.0,RC
Commercial,North America,466 to 929,1 to 6,50,1009.0,RC
Commercial,North America,46452 to 92903,1 to 6,40,1055.6,RC
Commercial,Middle East,Over 92903,More than 25,50,1060.0,Steel - Concrete
Commercial,Asia-Pacific,930 to 2323,1 to 6,50,1065.0,RC
Commercial,North America,930 to 2323,1 to 6,50,1082.0,RC
Commercial,North America,18581 to 46451,1 to 6,40,1103.3,RC
Commercial,North America,930 to 2323,15 to 25,50,1108.0,Steel - Concrete
Commercial,North America,18581 to 46451,1 to 6,40,1147.4,RC
Commercial,Asia-Pacific,46452 to 92903,1 to 6,40,1154.1,RC
Commercial,North America,Over 92903,More than 25,50,1167.0,Steel - Concrete
Commercial,Asia-Pacific,Over 92903,15 to 25,40,1172.0,Steel - Concrete
Commercial,North America,930 to 2323,1 to 6,40,1173.4,RC
Commercial,North America,9291 to 18580,7 to 14,50,1186.0,Steel - Concrete
Commercial,North America,9291 to 18580,1 to 6,50,1187.0,RC
Commercial,North America,9291 to 18580,1 to 6,50,1194.0,RC
Commercial,North America,18581 to 46451,1 to 6,50,1207.0,RC
Commercial,Middle East,4646 to 9290,1 to 6,50,1247.0,RC
Commercial,North America,466 to 929,1 to 6,50,1261.0,RC
Commercial,Europe,46452 to 92903,More than 25,40,1289.7,Steel - Concrete
Commercial,North America,466 to 929,1 to 6,50,1294.0,RC
Commercial,North America,2324 to 4645,1 to 6,50,1314.0,RC
Commercial,North America,4646 to 9290,1 to 6,50,1386.0,RC
Commercial,North America,4646 to 9290,1 to 6,50,1417.0,RC
Commercial,Middle East,Over 92903,More than 25,20,1447.5,Steel - Concrete
Commercial,North America,2324 to 4645,1 to 6,50,1455.0,RC
Residential,Europe,94 to 465,1 to 6,50,1465.0,RC
Commercial,North America,9291 to 18580,1 to 6,50,1474.0,RC
Commercial,North America,930 to 2323,1 to 6,50,1479.0,RC
Commercial,North America,930 to 2323,1 to 6,50,1604.0,RC
Commercial,North America,930 to 2323,1 to 6,50,1604.0,RC
Commercial,North America,930 to 2323,1 to 6,50,1604.0,RC
Commercial,North America,46452 to 92903,1 to 6,50,1629.0,RC
Commercial,North America,46452 to 92903,7 to 14,40,1665.7,Steel - Concrete
Commercial,North America,466 to 929,1 to 6,50,1707.0,RC
Commercial,North America,930 to 2323,1 to 6,50,1765.0,RC
Commercial,North America,2324 to 4645,1 to 6,50,1803.0,RC
Commercial,North America,18581 to 46451,1 to 6,50,1824.0,RC
Commercial,North America,18581 to 46451,1 to 6,50,1829.0,RC
Commercial,North America,9291 to 18580,7 to 14,50,1874.0,Steel - Concrete
Commercial,North America,466 to 929,1 to 6,50,1929.0,RC
Commercial,North America,930 to 2323,1 to 6,50,2066.0,RC
Commercial,North America,4646 to 9290,1 to 6,50,2156.0,RC
Commercial,North America,930 to 2323,1 to 6,50,2156.0,RC
Commercial,Middle East,Over 92903,More than 25,50,2661.0,Steel - Concrete
Commercial,North America,930 to 2323,1 to 6,50,2728.0,RC
Commercial,North America,466 to 929,1 to 6,50,2745.0,RC
Commercial,Middle East,46452 to 92903,More than 25,40,3152.0,Steel - Concrete
