Type,Location,Footprint,Tot_area,Floors,Build_life,CO2,Building_Construction_Type,Type_B,Location_B,Footprint_B,Tot_area_B,Floors_B,clear_Footprint,clear_floors,Clear_Area
Commercial,North America,4646 to 9290,"50,001 to 100,000",7 to 14,60,118.0,3,0,4,3,7,2,4841.78,7.24,35054.487199999996
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,118.0,2,0,4,3,7,0,4841.78,1.18,5713.300399999999
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,118.8,0,0,2,9,9,3,93169.41,25.08,2336688.8027999997
Commercial,North America,4646 to 9290,"50,001 to 100,000",7 to 14,50,119.0,3,0,4,3,7,2,4843.97,7.24,35070.342800000006
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,119.7,0,0,2,9,9,3,93200.15,25.09,2338391.7635
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,123.0,2,0,4,3,7,0,4852.7,1.19,5774.713
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,124.2,2,3,4,8,1,0,120.4,1.19,143.276
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,124.2,2,3,4,8,1,0,120.4,1.19,143.276
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,100,124.5,2,0,4,1,5,0,2412.07,1.19,2870.3633
Commercial,North America,4646 to 9290,"50,001 to 100,000",7 to 14,60,125.2,3,0,4,3,7,2,4857.5,7.27,35314.025
Residential,North America,46452 to 92903,"500,001 to 1 million",15 to 25,50,126.0,3,3,4,2,8,1,46847.72,15.81,740662.4532
Commercial,North America,Over 92903,Over 1 million,More than 25,100,126.6,0,0,4,9,9,3,93435.83,25.14,2348976.7662
Commercial,North America,Over 92903,Over 1 million,More than 25,100,126.8,0,0,4,9,9,3,93442.66,25.15,2350082.8989999997
Commercial,North America,466 to 929,"5,001 to 10,000",1 to 6,50,127.0,2,0,4,4,6,0,472.11,1.19,561.8109
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,128.0,2,0,4,3,7,0,4863.61,1.2,5836.331999999999
Residential,North America,2324 to 4645,"25,001 to 50,000",1 to 6,60,128.3,2,3,4,1,5,0,2417.12,1.2,2900.544
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,129.0,2,0,4,7,2,0,978.97,1.2,1174.764
Commercial,North America,Over 92903,Over 1 million,More than 25,100,129.1,0,0,4,9,9,3,93521.22,25.17,2353929.1074
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,130.0,2,3,4,8,1,0,121.89,1.2,146.268
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,131.0,0,0,2,9,9,3,93586.11,25.18,2356498.2498
Commercial,North America,Over 92903,Over 1 million,More than 25,100,131.5,0,0,4,9,9,3,93603.19,25.18,2356928.3242
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,132.4,0,0,2,9,9,3,93633.93,25.19,2358638.6966999997
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,132.8,0,0,2,9,9,3,93647.59,25.2,2359919.2679999997
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,50,133.0,3,0,4,0,4,2,19792.88,7.3,144488.024
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,133.3,0,0,2,9,9,3,93664.67,25.2,2360349.684
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,134.0,2,0,4,7,2,0,981.56,1.21,1187.6876
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,135.4,0,0,2,9,9,3,93736.4,25.22,2364032.008
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,135.7,0,0,2,9,9,3,93746.65,25.22,2364290.513
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,136.7,0,0,2,9,9,3,93780.8,25.23,2366089.5840000003
Commercial,North America,Over 92903,Over 1 million,More than 25,100,138.3,0,0,4,9,9,3,93835.45,25.24,2368406.758
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,140.0,2,0,4,5,3,0,9829.46,1.22,11991.9412
Commercial,North America,Over 92903,Over 1 million,More than 25,100,140.1,0,0,4,9,9,3,93896.93,25.26,2371836.4518
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,75,140.4,2,0,4,7,2,0,984.87,1.22,1201.5414
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,140.8,0,0,2,9,9,3,93920.84,25.26,2372440.4184
Commercial,Africa,4646 to 9290,"50,001 to 100,000",1 to 6,50,142.0,2,0,0,3,7,0,4894.17,1.22,5970.8874
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,142.7,0,0,2,9,9,3,93985.74,25.28,2375959.5072000003
Commercial,North America,Over 92903,Over 1 million,More than 25,100,142.7,0,0,4,9,9,3,93985.74,25.28,2375959.5072000003
Commercial,North America,466 to 929,"5,001 to 10,000",1 to 6,50,143.0,2,0,4,4,6,0,474.9,1.22,579.3779999999999
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,143.3,2,3,4,8,1,0,125.3,1.22,152.86599999999999
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,146.5,0,0,2,9,9,3,94115.53,25.31,2382064.0642999997
Commercial,North America,Over 92903,Over 1 million,More than 25,100,147.5,0,0,4,9,9,3,94149.68,25.32,2383869.8976
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,60,147.5,3,0,4,2,8,2,47174.94,7.35,346735.809
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,60,147.5,3,0,4,2,8,2,47174.94,7.35,346735.809
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,147.6,2,3,4,8,1,0,126.41,1.23,155.4843
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,148.3,2,3,4,8,1,0,126.59,1.23,155.7057
Commercial,North America,4646 to 9290,"50,001 to 100,000",7 to 14,60,148.8,3,0,4,3,7,2,4909.01,7.36,36130.3136
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,149.0,2,0,4,3,7,0,4909.44,1.23,6038.611199999999
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,149.0,2,0,4,7,2,0,989.32,1.23,1216.8636000000001
Commercial,North America,Over 92903,Over 1 million,More than 25,100,149.9,0,0,4,9,9,3,94231.66,25.34,2387830.2644
Commercial,North America,4646 to 9290,"50,001 to 100,000",7 to 14,60,150.9,3,0,4,3,7,2,4913.59,7.37,36213.1583
Commercial,North America,Over 92903,Over 1 million,More than 25,100,150.9,0,0,4,9,9,3,94265.81,25.34,2388695.6254
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,151.7,2,3,4,8,1,0,127.46,1.24,158.0504
Commercial,North America,Over 92903,Over 1 million,More than 25,100,152.3,0,0,4,9,9,3,94313.63,25.36,2391793.6568
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,60,152.5,3,0,4,0,4,2,20099.38,7.37,148132.43060000002
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,60,152.5,3,0,4,0,4,2,20099.38,7.37,148132.43060000002
