Building Type,Location,Foot print (m2),GFA (m2),Floor Count,Life Time (Years),TCO2 (Total),TC02 (Normalized at 50 years),Building_Construction_Type,Wood %,Steel %,Concrete %,Wood EC %,Steel EC %,Concrete EC %
Commercial,Africa,4646 to 9290,"50,001 to 100,000",1 to 6,50,142,142.0,Wood,100,0,0,100,0,0
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,285.46,142.7,RC,95,5,0,0,15,85
Commercial,North America,Over 92903,Over 1 million,More than 25,100,285.46,142.7,RC,95,5,0,0,15,85
Commercial,North America,466 to 929,"5,001 to 10,000",1 to 6,50,143,143.0,Wood,100,0,0,100,0,0
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,172,143.3,Wood,100,0,0,100,0,0
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,292.96,146.5,RC,95,5,0,0,15,85
Commercial,North America,Over 92903,Over 1 million,More than 25,100,294.99,147.5,RC,95,5,0,0,15,85
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,60,177,147.5,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,60,177,147.5,Wood-Hybrid,67,0,33,62,0,38
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,177.14,147.6,Wood,100,0,0,100,0,0
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,178,148.3,Wood,100,0,0,100,0,0
Commercial,North America,4646 to 9290,"50,001 to 100,000",7 to 14,60,178.54,148.8,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,149,149.0,Wood,100,0,0,100,0,0
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,149,149.0,Wood,100,0,0,100,0,0
Commercial,North America,Over 92903,Over 1 million,More than 25,100,299.72,149.9,RC,95,5,0,0,15,85
Commercial,North America,4646 to 9290,"50,001 to 100,000",7 to 14,60,181.06,150.9,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,Over 92903,Over 1 million,More than 25,100,301.89,150.9,RC,95,5,0,0,15,85
